"","song","album","year","url","lyrics"
"46","Cygnet Committee","Space Oddity","1969","http://www.azlyrics.com/lyrics/davidbowie/cygnetcommittee.html","

I bless you madly, 
sadly as I tie my shoes
I love you badly, 
Just in time, at times, I guess
Because of you I need to rest
Because it's you 
that sets the test

So much has gone 
and little is new
And as the sparrow sings
Dawn chorus for
Someone else to hear
The Thinker sits alone growing older
And so bitter

""I gave Them life
I gave Them all
They drained my very soul
...dry
I crushed my heart 
to ease Their pains
No thought for me remains there
Nothing can They spare
What of me?
Who praised Their efforts 
to be free?
Words of strength and care 
and sympathy
I opened doors
that would have blocked Their way
I braved Their cause to guide, 
for little pay

I ravaged at my finance just for Those
Those whose claims were steeped in peace, tranquility 
Those who said a new world, new ways ever free
Those whose promises stretched in hope and grace for me""

I bless you madly, 
sadly as I tie my shoes
I love you badly, just in time,
at times, I guess
Because of you I need to rest, oh yes
Because it's you 
that sets the test

So much has gone
and little is new
And as the sunrise stream
Flickers on me,
My friends talk
Of glory, untold dream, where all is God and God is just a word

""We had a friend, a talking man
Who spoke of many powers that he had
Not of the best of men, but Ours

We used him
We let him use his powers
We let him fill Our needs
Now We are strong

And the road is coming to its end
Now the damned have no time to make amends
No purse of token fortune stands in Our way
The silent guns of love
will blast the sky
We broke the ruptured structure built of age
Our weapons were the tongues of crying rage

Where money stood
We planted seeds of rebirth
And stabbed the backs of fathers
Sons of dirt

Infiltrated business cesspools
Hating through Our sleeves
Yea, and We slit the Catholic throat
Stoned the poor
on slogans such as

'Wish You Could Hear'
'Love Is All We Need'
'Kick Out The Jams'
'Kick Out Your Mother'
'Cut Up Your Friend'
'Screw Up Your Brother or He'll Get You In the End'

And We Know the Flag of Love is from Above
And We Can Force You to Be Free
And We Can Force You to Believe""

And I close my eyes and tighten up my brain
For I once read a book in which the lovers were slain
For they knew not the words of the Free States' refrain
It said:
""I believe in the Power of Good
I Believe in the State of Love
I Will Fight For the Right to be Right
I Will Kill for the Good of the Fight for the Right to be Right""

And I open my eyes to look around
And I see a child laid slain
on the ground
As a love machine lumbers through desolation rows
Ploughing down man, woman, listening to its command
But not hearing anymore 
Not hearing anymore
Just the shrieks from the old rich

And I Want to Believe
In the madness that calls 'Now'
And I want to Believe
That a light's shining through
Somehow

And I Want to Believe
And You Want to Believe
And We Want to Believe
And We Want to Live
Oh, We Want to Live

We Want to Live
We Want to Live
We Want to Live
We Want to Live
We Want to Live

I Want to Live
I Want to Live
I Want to Live

I Want to Live
I Want to Live
I Want to Live

Live
Live
Live
"
"47","Soul Love","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars","1972","http://www.azlyrics.com/lyrics/davidbowie/soullove.html","

Stone love - she kneels before the grave
A brave son - who gave his life 
to save the slogans
That hovers between the headstone and her eyes
For they penetrate her grieving

New love - a boy and girl are talking
New words - that only they can share in
New words - a love so strong it tears their hearts

To sleep - through the fleeting hours of morning

[CHORUS]
Love is careless in its choosing 
Sweeping over cross a baby
Love descends on those defenceless
Idiot love will spark the fusion
Inspirations have I none
Just to touch the flaming dove
All I have is my love of love
And love is not loving

Soul love - the priest that tastes the word and
Told of love - and how my God on high is
All love - though reaching up my loneliness 
evolves
By the blindness that surrounds him

[CHORUS]
"
"48","Rock \'N\' Roll Suicide","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars","1972","http://www.azlyrics.com/lyrics/davidbowie/rocknrollsuicide.html","

Time takes a cigarette, puts it in your mouth
You pull on your finger, then another finger, then your 
cigarette
The wall-to-wall is calling, it lingers, then you forget
Ohhh, you're a rock 'n' roll suicide

You're too old to lose it, too young to choose it

And the clock waits so patiently on your song
You walk past a cafe but you don't eat when you've lived 
too long
Oh, no, no, no, you're a rock 'n' roll suciide

Chev brakes are snarling as you stumble across the road

But the day breaks instead so you hurry home
Don't let the sun blast your shadow
Don't let the milk float ride your mind
You're so natural - religiously unkind

Oh no love! you're not alone
You're watching yourself but you're too unfair
You got your head all tangled up but if I could only make you care
Oh no love! you're not alone
No matter what or who you've been
No matter when or where you've seen
All the knives seem to lacerate your brain
I've had my share, I'll help you with the pain
You're not alone 

Just turn on with me and you're not alone 
Let's turn on with me and you're not alone
Let's turn on and be not alone
Gimme your hands cause you're wonderful [x2]
Oh gimme your hands.
"
"49","Andy Warhol","Hunky Dory","1971","http://www.azlyrics.com/lyrics/davidbowie/andywarhol.html","

Like to take a cement fix
Be a standing cinema
Dress my friends up 
just for show
See them as they really are
Put a peephole in my brain
Two New Pence to have a go
I'd like to be a gallery
Put you all inside my show

[CHORUS]
Andy Warhol looks a scream
Hang him on my wall
Andy Warhol, Silver Screen
Can't tell them apart at all

Andy walking, Andy tired
Andy take a little snooze
Tie him up when he's fast asleep
Send him on a pleasant cruise
When he wakes up on the sea
Be sure to think of me and you
He'll think about paint 
and he'll think about glue
What a jolly boring thing to do

[CHORUS]
"
"50","There Is A Happy Land","David Bowie","1967","http://www.azlyrics.com/lyrics/davidbowie/thereisahappyland.html","

There is a happy land where only children live
They don't have the time to learn the ways Of you sir, Mr. Grownup 
There's a special place in the rhubarb fields underneath the leaves
It's a secret place and adults aren't allowed there Mr. Grownup,
Go away sir
Charlie Brown got's half a crown, he's gonna buy a kite

Jimmy's ill with chicken pox, and Tommy's learned to ride his bike
Tiny Tim sings prayers and hymns, he's so small we don't notice him
He gets in the way but we always let him play with us

Mother calls, but we don't hear
There's lots more things to do 
It's only 5 o'clock, and we're not tired yet
But we will be, very shortly
Sissy Steven plays with girls, someone made him cry

Tony climbed a tree and fell, trying hard to touch the sky

Tommy lit a fire one day, nearly burned the field away

Tommy's mum found out, but he put the blame on me and Ray

There is a happy land where only children live
You've had your chance and now the doors are closed sir, Mr. Grownup 
Go away sir
Boo, de boo, de boo, de boo dup
"
"51","Uncle Arthur","David Bowie","1967","http://www.azlyrics.com/lyrics/davidbowie/unclearthur.html","

Strikes the bell for 5 o'clock, Uncle Arthur closes shop 
Screws the tops on all the bottles, turns the lights out, locks it up 
Climbs across his bike and he's away 
Cycles past the gasworks, past the river, down the high street 
Back to mother, it's another empty day 

[CHORUS]
Uncle Arthur likes his mommy 
Uncle Arthur still reads comics 
Uncle Arthur follows Batman 

Round and round the rumours fly, how he ran away from Mum 
On his 32nd birthday, told her that he'd found a chum Mother cried and raved and yelled and fussed 
Arthur left her no illusion, brought the girl round, save confusion 
Sally was the real thing, not just lust 

[CHORUS]
Uncle Arthur vanished quickly 
Uncle Arthur and his new bride 
Uncle Arthur follows Sally 
Round and round goes Arthur's head, hasn't eaten well for days
Little Sally may be lovely, but cooking leaves her in a maze 

Uncle Arthur packed his bags and fled 
Back to mother, all's forgiven, serving in the family shop 

He gets his pocket money, he's well fed 
Uncle Arthur past the gasworks 
Uncle Arthur past the river 
Uncle Arthur down the high street 
Uncle Arthur follows mother
"
"52","Oh! You Pretty Things","Hunky Dory","1971","http://www.azlyrics.com/lyrics/davidbowie/ohyouprettythings.html","

Wake up you sleepy head 
Put on some clothes,
shake up your bed 
Put another log on the fire for me 
I've made some breakfast and coffee 
Look out my window and what do I see 
A crack in the sky 
and a hand reaching down to me 
All the nightmares came today 
And it looks as though they're
here to stay 
What are we coming to 
No room for me,
no fun for you 
I think about a world to come 
Where the books were found 
by the Golden ones 
Written in pain, written in awe 
By a puzzled man who questioned 
What we were here for 
All the strangers came today 
And it looks as though
they're here to stay 

[CHORUS:]
Oh You Pretty Things 
Don't you know you're driving your 
Mamas and Papas insane 
Oh You Pretty Things 
Don't you know you're driving your 
Mamas and Papas insane 
Let me make it plain
([second time:] Let me say it again)
You gotta make way 
for the Homo Superior 

Look at your children 
See their faces in golden rays 
Don't kid yourself they belong to you 
They're the start of a coming race 
The earth is a bitch 
We've finished our news 
Homo Sapiens have outgrown their use 
All the strangers came today 
And it looks as though they're here to stay 

[CHORUS]
"
"53","Unwashed And Somewhat Slightly Dazed","Space Oddity","1969","http://www.azlyrics.com/lyrics/davidbowie/unwashedandsomewhatslightlydazed.html","

Spy, spy, pretty girl
I see you see me through your window
Don't turn your nose up
Well, you can if you need to, you won't be the first or last

It must strain you to look down so far from your father's house
And I know what a louse like me in his house could do for you
I'm the Cream
Of the Great Utopia Dream
And you're the gleam
In the depths 
of your banker's spleen

I'm a phallus in pigtails
And there's blood on my nose
And my tissue is rotting
Where the rats chew my bones
And my eye sockets empty
See nothing but pain
I keep having this brainstorm 
About twelve times a day
So now, you could spend the morning walking with me, quite amazed
As I'm Unwashed 
and Somewhat Slightly Dazed

I got eyes in my backside
That see electric tomatoes
On credit card rye bread
There are children in washrooms
Holding hands with a queen
And my heads full of murders
Where only killers scream
So now you could spend the morning talking with me quite amazed
Look out, I'm raving mad and Somewhat Slightly Dazed

Now you run from your window
To the porcelain bowl
And you're sick from your ears
To the red parquet floor
And the Braque on the wall
Slides down your front
And eats through your belly
It's very catching
So now, you should spend the mornings lying to your father quite amazed
About the strange Unwashed and Happily Slightly Dazed.
"
"54","It Ain\'t Easy","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars","1972","http://www.azlyrics.com/lyrics/davidbowie/itainteasy.html","

When you climb to the top of the mountain
Look out over the sea
Think about the places perhaps, where a young man could be
Then you jump back down to the rooftops
Look out over the town
Think about all of the strange things circulating round 

[CHORUS]
It ain't easy, it ain't easy
It ain't easy to get to heaven when you're going down 

Well all the people have got their problems
That ain't nothing new
With the help of the good Lord
We can all pull on through
We can all pull on through
Get there in the end
Sometimes it'll take you right up and sometimes down again

[CHORUS]

Satisfaction, satisfaction
Keep me satisfied
I've got the love of a Hoochie Koochie woman
She calling from inside
She's a-calling from inside
Trying to get to you
All the woman really wants you can give her something 
too

[CHORUS (x2)]
"
"55","Ashes To Ashes","Scary Monsters","1980","http://www.azlyrics.com/lyrics/davidbowie/ashestoashes.html","

Do you remember a guy that's been
In such an early song
I've heard a rumour from Ground Control
Oh no, don't say it's true

They got a message from the Action Man
""I'm happy. Hope you're happy, too.
I've loved. All I've needed: love.
Sordid details following.""

The shrieking of nothing is killing me
Just pictures of Jap girls in synthesis
And I ain't got no money and I ain't got no hair
But I'm hoping to kick but the planet is glowing

[Chorus:]
Ashes to ashes, funk to funky
We know Major Tom's a junkie
Strung out in heaven's high
Hitting an all-time low

Time and again I tell myself
I'll stay clean tonight
But the little green wheels are following me
Oh, no, not again

I'm stuck with a valuable friend
""I'm happy. Hope you're happy, too.""
One flash of light
But no smoking pistol

I never done good things
I never done bad things
I never did anything out of the blue,
Want an axe to break the ice
Wanna come down right now

[Chorus]

[4x]
My mama said, ""To get things done
You'd better not mess with Major Tom.""
"
"56","Let\'s Dance","Let\'s Dance","1983","http://www.azlyrics.com/lyrics/davidbowie/letsdance.html","

Let's dance put on your red shoes and dance the blues

Let's dance to the song 
they're playin' on the radio

Let's sway 
while color lights up your face
Let's sway 
sway through the crowd to an empty space

If you say run, I'll run with you
If you say hide, we'll hide
Because my love for you
Would break my heart in two
If you should fall
Into my arms
And tremble like a flower

Let's dance for fear 
your grace should fall
Let's dance for fear tonight is all

Let's sway you could look into my eyes
Let's sway under the moonlight, 
this serious moonlight

If you say run, I'll run with you
If you say hide, we'll hide
Because my love for you
Would break my heart in two
If you should fall
Into my arms
And tremble like a flower

Let's dance put on your red shoes 
and dance the blues

Let's dance to the song 
they're playin' on the radio

Let's sway you could look into my eyes
Let's sway under the moonlight, 
this serious moonlight
"
"57","Blackout","""Heroes""","1977","http://www.azlyrics.com/lyrics/davidbowie/blackout.html","

Oh you, you walk on past
Your lips cut a smile
on your face
Your scalding face
To the cage, to the cage
She was a beauty in a cage

Too, too high a price
To drink rotting wine from your hands
Your fearful hands
Get me to a doctor's I've been told
Someone's back in town
the chips are down
I just cut and blackout
I'm under Japanese influence
And my honour's at stake

The weather's grim, ice on the cages
Me, I'm Robin Hood 
and I puff on my cigarette
Panthers are steaming, 
stalking, screaming

If you don't stay tonight
I will take that plane tonight
I've nothing to lose, 
nothing to gain
I'll kiss you in the rain
Kiss you in the rain
Kiss you in the rain
In the rain
Get me to the doctor

Get me off the streets 
(get some protection)
Get me on my feet
(get some direction)
Hot air gets me into a blackout
Oh, get me off the streets
Get some protection
Oh get me on my feet (wo-ooh!)

While the streets block off 
Getting some skin exposure to the blackout
(get some protection)
Get me on my feet 
(get some direction, wo-ooh!)
Oh get me on my feet
Get me off the streets
(get some protection)
"
"58","Always Crashing In The Same Car","Low","1977","http://www.azlyrics.com/lyrics/davidbowie/alwayscrashinginthesamecar.html","

Every chance, 
every chance that I take
I take it on the road
Those kilometres and the red lights
I was always looking left and right
Oh, but I'm always crashing 
in the same car

Jasmine, I saw you peeping
As I pushed my foot down to the floor
I was going round and round the hotel garage
Must have been touching close to 94
Oh, but I'm always crashing
in the same car
"
"59","Because You\'re Young","Scary Monsters","1980","http://www.azlyrics.com/lyrics/davidbowie/becauseyoureyoung.html","

Psychodelicate girl - come out to play
Little metal faced-boy 
don't stay away
They're so war-torn and resigned
she can't talk any more

What are they trying to prove?
What would they like to find?

It's love back to front and no sides
like I say
These pieces are broken - like I say
These pieces are broken
Hope I'm wrong but I know

[CHORUS]
Because you're young 
you'll meet a stranger some night
Because you're young -
what could be nicer for you 
and it makes me sad
So I'll dance my life away
A million dreams, a million scars

He punishes hard 
was loving her such a crime
She took back everything she said
Left him nearly out of his mind
They're people I know - people I love
They seem so unhappy - dead or alive

It's love back to front and no sides 
like I say
These pieces are broken - like I say
These pieces are broken
Hope I'm wrong but I know

[CHORUS]

A million dreams
A million scars
A million [repeat ad inf.]
"
"60","Repetition","Lodger","1979","http://www.azlyrics.com/lyrics/davidbowie/repetition.html","

Johnny is a man
And he's bigger than you
But his overheads are high
And he looks straight through when you ask him how the kids are

He'll get home around seven
'Cause the chevy's real old
And he could have had a cadillac
If the school had taught him right
And he could have married Anne with the blue silk blouse
He could have married Anne with the blue silk blouse

And the food is on the table
But the food is cold
(Don't hit her)

""Can't you even cook?
What's the good of me working when you can't damn cook?""

Well Johnny is a man
And he's bigger than her
I guess the bruises won't show 
If she wears long sleeves
But the space in her eyes shows through

And he could have married Anne with the blue silk blouse

He could have married Anne with the blue silk blouse

Shows through
Shows through
Shows through
"
"61","Be My Wife","Low","1977","http://www.azlyrics.com/lyrics/davidbowie/bemywife.html","

Sometimes you get so lonely
Sometimes you get nowhere
I've lived all over the world
I've left every place

Please be mine
Share my life
Stay with me
Be my wife

Sometimes you get so lonely
Sometimes you get nowhere
I've lived all over the world
I've left every place 

Please be mine
Share my life
Stay with me
Be my wife

Sometimes you get so lonely
"
"62","China Girl","Let\'s Dance","1983","http://www.azlyrics.com/lyrics/davidbowie/chinagirl.html","

I could escape this feeling 
with my China girl
I feel a wreck 
without my little China girl
I hear her heart beating
loud as thunder
Saw they stars crashing 

I'm a mess
without my little China girl 
Wake up mornings where's my little China girl
I hear her heart's beating 
loud as thunder
Saw they stars crashing down

I feel a-tragic 
like I'm Marlon Brando
When I look at my china girl
I could pretend that nothing really meant too much
When I look at my China girl

I stumble into town just like a sacred cow
Visions of swasticas in my head
Plans for everyone
It's in the white of my eyes

My little China girl
You shouldn't mess with me
I'll ruin everything you are
I'll give you television
I'll give you eyes of blue
I'll give you man who wants to rule the world

And when I get excited
My little China girl says
Oh baby just you shut your mouth
She says : sh-sh-shhh
"
"63","""Heroes""","""Heroes""","1977","http://www.azlyrics.com/lyrics/davidbowie/heroes.html","

I, I will be king
And you, you will be queen
Though nothing will drive them away
We can beat them, just for one day
We can be Heroes, just for one day

And you, you can be mean
And I, I'll drink all the time
'Cause we're lovers, and that is a fact
Yes we're lovers, and that is that

Though nothing, will keep us together
We could steal time, 
just for one day
We can be Heroes, for ever and ever
What d'you say?

I, I wish you could swim
Like the dolphins, like dolphins can swim
Though nothing,
nothing will keep us together
We can beat them, for ever and ever
Oh we can be Heroes, 
just for one day

I, I will be king
And you, you will be queen
Though nothing will drive them away
We can be Heroes, just for one day
We can be us, just for one day

I, I can remember (I remember)
Standing, by the wall (by the wall)
And the guns shot above our heads
(over our heads)
And we kissed, 
as though nothing could fall
(nothing could fall)
And the shame was on the other side
Oh we can beat them, for ever and ever
Then we could be Heroes, 
just for one day

We can be Heroes
We can be Heroes
We can be Heroes
Just for one day
We can be Heroes

We're nothing, and nothing will help us
Maybe we're lying, 
then you better not stay
But we could be safer, 
just for one day

Oh-oh-oh-ohh, oh-oh-oh-ohh, 
just for one day
"
"64","Teenage Wildlife","Scary Monsters","1980","http://www.azlyrics.com/lyrics/davidbowie/teenagewildlife.html","

Well, how come you only want tomorrow
With its promise 
of something hard to do
A real life adventure
worth more than pieces of gold
Blue skies above
and sun on your arms 
strength in your stride
And hope in those squeaky clean eyes
You'll get chilly receptions 
everywhere you go
Blinded with desire 
- guess the season is on

So you train by shadow boxing, 
search for the truth
But it's all, but it's all used up
Break open
your million dollar weapon
And you push , still you push, 
still you push your luck

A broken nosed mogul are you
One of the new wave boys9 

Same old thing in brand new drag
Comes sweeping into view, oh-ooh
As ugly as a teenage millionaire
Pretending
it's a whizz kid world
You'll take me aside, and say
""Well, David, what shall I do?
They wait for me in the hallway""
I'll say ""Don't ask me, I don't know any hallways""
But they move in numbers and they've got me in a corner
I feel like a group of one, no-no
They can't do this to me
I'm not some piece 
of teenage wildlife

Those midwives to history put on their bloody robes

The word is that the hunted one is out there on his own
You're alone for maybe the last time
And you breathe for a long time
Then you howl like a wolf in a trap
And you daren't look behind

You fall to the ground
like a leaf from the tree
And look up one time 
at that vast blue sky
Scream out aloud as they shoot you down
No no, I'm not a piece 
of teenage wildlife
I'm not a piece 
of teenage wildlife

And no one will have seen 
and no one will confess
The fingerprints will prove 
that you coudn't pass the test
There'll be others 
on the line filing past, 
who'll whisper low
I miss you he really had to go
Well each to his own, he was
Another piece of teenage wildlife, oh-oh-oh-ohh
Another piece of teenage wildlife, oh-oh-oh-ohh
Another piece of teenage wild...
Wild 
Wild
Wild
"
"65","Move On","Lodger","1979","http://www.azlyrics.com/lyrics/davidbowie/moveon.html","

Sometimes I feel
That I need to move on
So I pack a bag
And move on
Move on

Well I might take a train
Or sail at dawn
Might take a girl
When I move on
When I move on

Somewhere, someone's calling me
When the chips are down
I'm just a travelling man
Maybe it's just a trick of the mind, but
Somewhere there's a morning sky
Bluer than her eyes
Somewhere there's an ocean
Innocent and wild

Africa is sleepy people
Russia has its horsemen
Spent some nights in old Kyoto
Sleeping on the matted ground
Cyprus is my island
When the going's rough
I would love to find you
Somewhere in a place like that

Somewhere, someone's calling me
When the chips are down
I stumble like a blind man
Can't forget you
Can't forget you

Feeling like a shadow
Drifting like a leaf
I stumble like a blind man
Can't forget you
Can't forget you

Can't forget you
Can't forget you
"
"66","Breaking Glass","Low","1977","http://www.azlyrics.com/lyrics/davidbowie/breakingglass.html","

Baby, I've been
breaking glass 
In your room again
Listen 

Don't look at the carpet,
I drew something awful on it

See

You're such a wonderful person
But you got problems oh-oh-oh-oh
I'll never touch you
"
"67","Scream Like A Baby","Scary Monsters","1980","http://www.azlyrics.com/lyrics/davidbowie/screamlikeababy.html","

Well I wouldn't buy no merchandise
And I wouldn't go to war
And I mixed with other colours
But the nurse doesn't care
And I hide under blankets
Or did I run away
I really can't remember
Last time I saw the light of day

But I remember Sam 
'cause he was like me

[CHORUS]
Scream like a baby
Sam was a gun
And I never knew his last name
And we never had no fun

Well they came down hard on the faggots
And they came down hard on the street
They came down harder on Sam
And they all knew he was beat
He was thrown into the wagon
Blindfolded, chains,
and they stomped on us
And took away our clothes and things
And pumped us full of strange drugs
And oh I saw Sam falling
Spitting in their eyes
But now I lay me down to sleep
And now I close my eyes
Now I'm learning 
to be a part of soc-society

[CHORUS]

No athletic program, 
no discipline, no book

He just sat in the backseat
swearing he'd seek revenge
But he jumped into the furnace
Singing old songs we loved

[CHORUS (twice)]
"
"68","Yassassin (Turkish For Long Live)","Lodger","1979","http://www.azlyrics.com/lyrics/davidbowie/yassassinturkishforlonglive.html","

[CHORUS]
Yassassin - I'm not a moody guy
Yassassin - I walk without a sound
Yassassin - 
Just a working man, no judge of men
Yassassin - 
But such a life I've never known

We came from the farmlands
To live in this city
We walked proud and lustful
In this resonant world
You want to fight
But I don't want to leave
Or drift away

[CHORUS]

Look at this - no second glances
Look at this - no value of love
Look at this - just sun and steel
Look at this - then look at us

If there's someone in charge
Then listen to me
Don't say nothing's wrong
'Cause I've got a love 
And she's afeared
You want to fight
But I don't want to leave
Or drift away

[CHORUS]

Yassassin, Yassassin, Yassassin
"
"69","Warszawa","Low","1977","http://www.azlyrics.com/lyrics/davidbowie/warszawa.html","

Mmmm-mm-mm-ommm 
Sula vie dilejo 
Mmmm-mm-mm-ommm 
Sula vie milejo 
Mmm-omm

Cheli venco deho
Cheli venco deho
Malio
Mmmm-mm-mm-ommm

Helibo seyoman
Cheli venco raero
Malio
Malio
"
"70","Scary Monsters (And Super Creeps)","Scary Monsters","1980","http://www.azlyrics.com/lyrics/davidbowie/scarymonstersandsupercreeps.html","

She had an horror of rooms 
she was tired 
you can't hide beat 
When I looked in her eyes they were blue but nobody home

She could've been a killer 
if she didn't walk the way she do, 
and she do
She opened strange doors
that we'd never close again

She began to wail jealousies scream
Waiting at the light know what I mean

[CHORUS (twice)]
Scary monsters, super creeps
Keep me running, running scared

She asked me to stay 
and I stole her room
She asked for my love 
and I gave her a dangerous mind
Now she's stupid in the street
and she can't socialise
Well I love the little girl 
and I'll love her till the day she dies

She wails
Jimmy's guitar sound
jealousies scream
Waiting at the light know what I mean

[CHORUS (twice)]

[CHORUS (twice)]

Run, Run, Run [ad lib]
"
"71","What In The World","Low","1977","http://www.azlyrics.com/lyrics/davidbowie/whatintheworld.html","

You're just a little girl with grey eyes
Never mind, say something
Wait until the crowd cries
Oh, wait until the crowd cries
You're just a little girl with grey eyes

So deep in your room, 
You never leave your room
Something deep inside of me
Yearning deep inside of me
Talking through the gloom
What in the world can you do
What in the world can you do
I'm in the mood for your love
For your love
For your love

I'm just a little bit afraid of you
Cause love won't make you cry
But, wait 
until the crowd goes
Oh, wait 
until the crowd goes
I'm just a little bit afraid of you

So deep in your room, 
You never leave your room
Something deep inside of me
Yearning deep inside of me
Talking through the gloom
What in the world can I do
What in the world can I do
I'm in the mood for your love
For your love
For your love

Oh, what you gonna say?
Oh, what you gonna do?
Ah, what you gonna be?
To the real me 
to the real me

Ahhhh, ahhhh, ahhhh, ahhhh [repeat ad inf.]
"
"72","Up The Hill Backwards","Scary Monsters","1980","http://www.azlyrics.com/lyrics/davidbowie/upthehillbackwards.html","

The vacuum created 
by the arrival of freedom
And the possibilities it seems to offer
It's got nothing to do with you,
if one can grasp it 
It's got nothing to do with you, 
if one can grasp it

A series of shocks - sneakers fall apart
Earth keeps on rolling 
witnesses falling
It's got nothing to do with you,
if one can grasp it
It's got nothing to do with you,
if one can grasp it

Yeah, yeah, yeah 
up the hill backwards
It'll be alright ooo-ooo

While we sleep they go to work
We're legally crippled
it's the death of love
It's got nothing to do with you,
if one can grasp it
It's got nothing to do with you, 
if one can grasp it

More idols than realities
I'm OK, you're so-so

Yeah, yeah, yeah - up the hill backwards
It'll be alright ooo-ooo
"
"73","Sound And Vision","Low","1977","http://www.azlyrics.com/lyrics/davidbowie/soundandvision.html","

Don't you wonder sometimes
'Bout sound and vision

Blue, blue, electric blue
That's the colour of my room
Where I will live
Blue, blue

Pale blinds drawn all day
Nothing to do, nothing to say
Blue, blue

I will sit right down, 
Waiting for the gift of sound and vision
And I will sing, waiting for the gift of sound and vision
Drifting into my solitude,
over my head

Don't you wonder sometimes
'Bout sound and vision
"
"74","Ricochet","Let\'s Dance","1983","http://www.azlyrics.com/lyrics/davidbowie/ricochet.html","

Like weeds on a rockface waiting for the scythe
Ricochet - Ricochet
The world is on a corner waiting for jobs
Ricochet - Ricochet
Turn the holy pictures 
so they face the wall
And who can bear to be forgotten
And who can bear to be forgotten
March of flowers - March of dimes
These are the prisons, these are the crimes
Men wait for news while thousands are still asleep

Dreaming of tramlines, factories, pieces of machinery
Mine shafts, things like that
March of flowers - March of dimes
These are the prisons, these are the crimes
Sound of thunder, sound of gold
Sound of the devil
breaking parole
Ricochet - It's not the end of the world
Sound of thunder, sound of gold
Sound of the devil 
breaking parole
Ricochet - Ricochet
These are the prisons, these are the crimes
Teaching life in a violent new way
Ricochet - Ricochet
Turn the holy pictures so they face the wall
And who can bear to be forgotten
And who can bear to be forgotten
March of flowers, march of dimes
These are the prisons, these are the crimes
Early, before the sun,
they struggle off to the gates
In their secret fearful places 
they see their lives
Unravelling before them
March of flowers, march of dimes
These are the prisons, these are the crimes
Sound of thunder, sound of gold
Sound of the devil
breaking parole
Ricochet 
it's not the end of the world

But when they get home, 
damp eyed and weary
They smile and crush their children to their heaving chests
Making unfulfillable promises
For who can bear to be forgotten
"
"75","Boys Keep Swinging","Lodger","1979","http://www.azlyrics.com/lyrics/davidbowie/boyskeepswinging.html","

Heaven loves ya
The clouds part for ya
Nothing stands in your way
When you're a boy

Clothes always fit ya
Life is a pop of the cherry
When you're a boy

When you're a boy
You can wear a uniform
When you're a boy
Other boys check you out
You get a girl
These are your favourite things
When you're a boy

Boys
Boys
Boys keep swinging
Boys always work it out

Uncage the colours
Unfurl the flag
Luck just kissed you hello
When you're a boy

They'll never clone ya
You're always first on the line
When you're a boy

When you're a boy
You can buy a home of your own
When you're a boy
Learn to drive and everything
You'll get your share
When you're a boy

Boys
Boys
Boys keep swinging
Boys always work it out
"
"76","Fashion","Scary Monsters","1980","http://www.azlyrics.com/lyrics/davidbowie/fashion.html","

There's a brand new dance
but I don't know its name
That people from bad homes 
do again and again
It's big and it's bland 
full of tension and fear
They do it over there but we don't do it here

[CHORUS]
Fashion! Turn to the left
Fashion! Turn to the right
Oooh, fashion!
We are the goon squad 
and we're coming to town
Beep-beep
Beep-beep

Listen to me - don't listen to me
Talk to me - don't talk to me
Dance with me - don't dance with me, no
Beep-beep

There's a brand new talk,
but it's not very clear
That people from good homes 
are talking this year
It's loud and tasteless 
and I've heard it before
You shout it while you're dancing 
on the whole dance floor
Oh bop, fashion

[CHORUS]

Listen to me - don't listen to me
Talk to me - don't talk to me
Dance with me - don't dance with me, no
Beep-beep
Beep-beep

Oh, bop, do do do do do do do do
Fa-fa-fa-fa-fashion
Oh, bop, do do do do do do do do
Fa-fa-fa-fa-fashion
La-la la la la la la-la
"
"77","Cat People (Putting Out The Fire)","Let\'s Dance","1983","http://www.azlyrics.com/lyrics/davidbowie/catpeopleputtingoutthefire.html","

See these eyes so green
I can stare for a thousand years
Colder than the moon
It's been so long
And I've been putting out fire 
With gasoline

Feel my blood enraged
It's just the fear of losing you
Don't you know my name
Well, you been so long

See these eyes so red
Red like jungle burning bright
Those who feel me near
Pull the blinds and change their minds
It's been so long

Still this pulsing night
A plague I call a heartbeat
Just be still with me
Ya wouldn't believe what I've been thru
You've been so long
Well it's been so long
And I've been putting out fire 
with gasoline
putting out fire
with gasoline

See these tears so blue
An ageless heart 
that can never mend
These tears can never dry
A judgement made
can never bend
See these eyes so green
I can stare for a thousand years
Just be still with me
You wouldn't believe what I've been thru

You've been so long
Well, it's been so long
And I've been putting out fire
with gasoline
putting out fire with gasoline
"
