"","song","album","year","url","lyrics"
"11","Five Years","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars","1972","http://www.azlyrics.com/lyrics/davidbowie/fiveyears.html","

Pushing thru the market 
square
so many mothers sighing
News had just come over, 
we had five years left to cry in

News guy wept and told us 
earth was really dying
Cried so much his face was wet
then I knew he was not lying

I heard telephones, opera house, favourite melodies
I saw boys, toys electric irons and T.V.'s
My brain hurt like a warehouse
it had no room to spare
I had to cram so many things 
to store everything in there
And all the fat-skinny people, and all the tall-short people
And all the nobody people, and all the somebody people
I never thought I'd need so many people

A girl my age went off her head
hit some tiny children
If the black hadn't a-pulled her off, I think she would have killed them

A soldier with a broken arm, fixed his stare to the wheel of a Cadillac
A cop knelt and kissed the feet of a priest
and a queer threw up at the sight of that
I think I saw you in an ice-cream parlour
drinking milk shakes cold and long
Smiling and waving and looking so fine
don't think you knew you were in this song

And it was cold and it rained so I felt like an actor
And I thought of Ma and I wanted to get back there
Your face, your race, the way that you talk
I kiss you, you're beautiful, I want you to walk

We've got five years, stuck on my eyes
We've got five years, what a surprise
We've got five years, my brain hurts a lot
We've got five years, that's all we've got
"
"12","After All","The Man Who Sold The World","1970","http://www.azlyrics.com/lyrics/davidbowie/afterall.html","

Please trip them gently, they don't like to fall, Oh by jingo

There's no room for anger, we're all very small, Oh by jingo

We're painting our faces and dressing in thoughts from the skies, 
From paradise 
But they think that we're holding a secretive ball. 
Won't someone invite them 
They're just taller children, that's all, after all 

Man is an obstacle, sad as the clown, Oh by jingo 
So hold on to nothing, and he won't let you down, Oh by jingo 
Some people are marching together and some on their own
Quite alone 
Others are running, the smaller ones crawl
But some sit in silence, they're just older children 
That's all, after all 

I sing with impertinence, shading impermanent chords, with my words 
I've borrowed your time and I'm sorry I called 
But the thought just occurred that we're nobody's children At all, after all 
Live till your rebirth and do what you will, Oh by jingo 
Forget all I've said, please bear me no ill, Oh by jingo 

After all, after all
"
"13","Space Oddity","Space Oddity","1969","http://www.azlyrics.com/lyrics/davidbowie/spaceoddity.html","

Ground Control to Major Tom
Ground Control to Major Tom
Take your protein pills 
and put your helmet on

Ground Control to Major Tom
Commencing countdown, 
engines on
Check ignition 
and may God's love be with you

[spoken]
Ten, Nine, Eight, Seven, Six, Five, Four, Three, Two, One, Liftoff

This is Ground Control 
to Major Tom
You've really made the grade
And the papers want to know whose shirts you wear
Now it's time to leave the capsule 
if you dare

This is Major Tom to Ground Control
I'm stepping through the door
And I'm floating 
in a most peculiar way
And the stars look very different today

For here
Am I sitting in a tin can
Far above the world
Planet Earth is blue
And there's nothing I can do

Though I'm past 
one hundred thousand miles
I'm feeling very still
And I think my spaceship knows which way to go
Tell my wife I love her very much 
she knows

Ground Control to Major Tom
Your circuit's dead,
there's something wrong
Can you hear me, Major Tom?
Can you hear me, Major Tom?
Can you hear me, Major Tom?
Can you....

Here am I floating 
round my tin can
Far above the Moon
Planet Earth is blue
And there's nothing I can do.
"
"14","Life On Mars?","Hunky Dory","1971","http://www.azlyrics.com/lyrics/davidbowie/lifeonmars.html","

It's a god-awful small affair
To the girl with the mousy hair
But her mummy is yelling ""No""
And her daddy has told her to go
But her friend is nowhere to be seen
Now she walks
through her sunken dream
To the seat with the clearest view
And she's hooked to the silver screen
But the film is a saddening bore
For she's lived it
ten times or more
She could spit in the eyes of fools
As they ask her to focus on

[CHORUS]
Sailors fighting in the dance hall
Oh man!
Look at those cavemen go
It's the freakiest show
Take a look at the Lawman
Beating up the wrong guy
Oh man! Wonder if he'll ever know
He's in the best selling show
Is there life on Mars?

It's on Amerika's tortured brow
That Mickey Mouse
has grown up a cow
Now the workers 
have struck for fame
'Cause Lennon's on sale again
See the mice in their million hordes
From Ibeza to the Norfolk Broads
Rule Britannia is out of bounds
To my mother, my dog, and clowns
But the film is a saddening bore
'Cause I wrote it
ten times or more
It's about to be writ again
As I ask you to focus on

[CHORUS]
Dring-dring-dring......
[Mind the phone]
"
"15","All The Madmen","The Man Who Sold The World","1970","http://www.azlyrics.com/lyrics/davidbowie/allthemadmen.html","

Day after day 
They send my friends away 
To mansions cold and grey 
To the far side of town 
Where the thin men stalk the streets 
While the sane stay underground 

Day after day 
They tell me I can go 
They tell me I can blow 
To the far side of town 
Where it's pointless to be high 
'Cause it's such a long way down 
So I tell them that 
I can fly, I will scream, I will break my arm 

I will do me harm 
Here I stand, foot in hand, talking to my wall 
I'm not quite right at all...am I? 

Don't set me free, I'm as heavy as can be 
Just my librium and me 
And my E.S.T. makes three 

'Cause I'd rather stay here 
With all the madmen 
Than perish with the sadmen roaming free 

And I'd rather play here 
With all the madmen 
For I'm quite content they're all as sane as me 

(Where can the horizon lie 
When a nation hides 
Its organic minds in a cellar...dark and grim
They must be very dim) 

Day after day 
They take some brain away 
Then turn my face around 
To the far side of town 
And tell me that it's real 
Then ask me how I feel 

Here I stand, foot in hand, talking to my wall 
I'm not quite right at all 
Don't set me free, I'm as helpless as can be 
My libido's split on me 
Gimme some good 'ole lobotomy 

'Cause I'd rather stay here 
With all the madmen 
Than perish with the sadmen 
Roaming free And I'd rather play here 
With all the madmen 
For I'm quite content 
They're all as sane as me 
Zane, Zane, Zane Ouvre le Chien [rpt]
"
"16","Memory Of A Free Festival","Space Oddity","1969","http://www.azlyrics.com/lyrics/davidbowie/memoryofafreefestival.html","

The Children of the summer's end
Gathered in the dampened grass
We played Our songs and felt the London sky
Resting on our hands
It was God's land
It was ragged and naive
It was Heaven

Touch, We touched the very soul
Of holding each and every life
We claimed the very source of joy ran through
It didn't, but it seemed that way
I kissed a lot of people that day

Oh, to capture just one drop of all the ecstasy that swept that afternoon
To paint that love
upon a white balloon
And fly it from 
the topest top of all the tops 
That man has pushed beyond his brain
Satori must be something 
just the same

We scanned the skies with rainbow eyes and saw machines of every shape and size
We talked with tall Venusians passing through
And Peter tried to climb aboard but the Captain shook his head
And away they soared
Climbing through 
the ivory vibrant cloud
Someone passed some bliss among the crowd
And We walked back to the road, unchained

""The Sun Machine is Coming Down, and We're Gonna Have a Party
The Sun Machine is Coming Down, and We're Gonna Have a Party
The Sun Machine is Coming Down, and We're Gonna Have a Party
The Sun Machine is Coming Down, and We're Gonna Have a Party
The Sun Machine is Coming Down, and We're Gonna Have a Party.""
"
"17","Quicksand","Hunky Dory","1971","http://www.azlyrics.com/lyrics/davidbowie/quicksand.html","

I'm closer to the Golden Dawn 
Immersed in Crowley's uniform 
Of imagery 
I'm living in a silent film 
Portraying 
Himmler's sacred realm 
Of dream reality 
I'm frightened by the total goal 
Drawing to the ragged hole 
And I ain't got the power anymore 
No I ain't got the power anymore 

I'm the twisted name 
on Garbo's eyes 
Living proof of 
Churchill's lies 
I'm destiny 
I'm torn between the light and dark 
Where others see their targets 
Divine symmetry 
Should I kiss the viper's fang 
Or herald loud
the death of Man 
I'm sinking in the quicksand 
of my thought 
And I ain't got the power anymore

[CHORUS]
Don't believe in yourself 
Don't deceive with belief 
Knowledge comes
with death's release 

I'm not a prophet 
or a stone age man 
Just a mortal 
with the potential of a superman 
I'm living on 
I'm tethered to the logic 
of Homo Sapien 
Can't take my eyes 
from the great salvation 
Of bullshit faith 
If I don't explain what you ought to know 
You can tell me all about it 
On, the next Bardot
I'm sinking in the quicksand 
of my thought 
And I ain't got the power anymore

[CHORUS]
"
"18","Eight Line Poem","Hunky Dory","1971","http://www.azlyrics.com/lyrics/davidbowie/eightlinepoem.html","

The tactful cactus by your window
Surveys the prairie of your room
The mobile spins to its collision
Clara puts her head between her paws
They've opened shops down West side
Will all the cacti find a home
But the key to the city
Is in the sun that pins 
the branches to the sky
"
"19","Silly Boy Blue","David Bowie","1967","http://www.azlyrics.com/lyrics/davidbowie/sillyboyblue.html","

Montains of Lhasa are feeling the rain
People are walking the Botella lanes
Preacher takes the school
One boy breaks a rule
Silly boy blue, silly boy blue

Yak butter statues that melt in sun
Cannot dissolve all the work you've not down
A chela likes to feel
That his overself pays the bill
Silly boy blue, silly boy blue

You wish and wish, and wish again
You've tried so hard to fly
You'll never leave your body now
You've got to wait to die 
La la la la la la la la la la [x2]
La la la la la [x2]
Silly boy blue, silly boy blue
Child of the Tibet, you're a gift from the sun
Reincarnation of one better man
The homeward road is long
You've left your prayers and song
Silly boy blue, silly boy blue
Silly boy blue, silly boy blue
"
"20","Star","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars","1972","http://www.azlyrics.com/lyrics/davidbowie/star.html","

Tony went to fight in Belfast
Rudi stayed at home to starve
I could make it all worthwhile 
as a rock & roll star
Bevan tried to change the nation
Sonny wants to turn the world, well he can tell you that 
he tried
I could make a transformation as a rock & roll star

[CHORUS (x2)]
So inviting - so enticing to play the part
I could play the wild mutation 
as a rock & roll star
I could do with the money
I'm so wiped out with things as they are
I'd send my photograph to my honey - and I'd c'mon like 
a regular superstar

I could fall asleep at night 
as a rock & roll star
I could fall in love all right 
as a rock & roll star
"
